calf_id	sire	ADG	DDMI
383R	551G	1.43	6.8
142R	432H	1.57	8.56
663R	437J	1.87	9.67
380R	551G	1.59	8.36
095R	432H	1.55	8.14
634R	297J	1.2	6.21
309R	551G	1.34	7.16
291R	297J	1.83	9.85
298R	437J	1.16	6.37
324R	297J	1.93	10.75
524R	432H	1.35	7.11
711R	297J	1.64	8.37
277R	437J	1.49	8.54
279R	437J	1.52	8.73
330R	551G	0.89	4.83
125T	297J	1.3	7.45
275R	297J	1.42	8.14
316R	551G	1.44	7.96
345R	551G	1.55	8.49
263R	551G	1.48	8.58
636R	437J	1.67	9.36
381R	551G	1.49	7.81
093R	437J	1.3	8.34
191R	437J	1.2	7.09
742S	297J	1.36	8.06
315R	551G	1.38	8.1
568R	297J	1.57	9.18
